2015,,
,,
Age,Male,Female
0,0.63%,0.60%
1,0.63%,0.60%
2,0.63%,0.60%
3,0.63%,0.60%
4,0.64%,0.61%
5,0.64%,0.61%
6,0.64%,0.61%
7,0.66%,0.63%
8,0.66%,0.63%
9,0.66%,0.63%
10,0.65%,0.63%
11,0.66%,0.63%
12,0.65%,0.63%
13,0.65%,0.62%
14,0.66%,0.64%
15,0.68%,0.65%
16,0.67%,0.64%
17,0.67%,0.64%
18,0.67%,0.64%
19,0.68%,0.65%
20,0.70%,0.66%
21,0.71%,0.67%
22,0.73%,0.68%
23,0.74%,0.70%
24,0.75%,0.72%
25,0.75%,0.72%
26,0.72%,0.69%
27,0.70%,0.68%
28,0.69%,0.67%
29,0.69%,0.67%
30,0.69%,0.68%
31,0.67%,0.66%
32,0.68%,0.67%
33,0.68%,0.67%
34,0.67%,0.67%
35,0.68%,0.68%
36,0.64%,0.64%
37,0.63%,0.63%
38,0.62%,0.62%
39,0.60%,0.60%
40,0.62%,0.62%
41,0.60%,0.61%
42,0.60%,0.62%
43,0.63%,0.64%
44,0.67%,0.68%
45,0.68%,0.69%
46,0.64%,0.65%
47,0.63%,0.64%
48,0.63%,0.64%
49,0.64%,0.65%
50,0.68%,0.69%
51,0.69%,0.71%
52,0.68%,0.71%
53,0.68%,0.71%
54,0.69%,0.72%
55,0.69%,0.72%
56,0.67%,0.70%
57,0.66%,0.70%
58,0.65%,0.69%
59,0.63%,0.67%
60,0.62%,0.67%
61,0.59%,0.64%
62,0.56%,0.62%
63,0.54%,0.59%
64,0.52%,0.58%
65,0.51%,0.56%
66,0.49%,0.55%
67,0.49%,0.54%
68,0.51%,0.56%
69,0.37%,0.42%
70,0.36%,0.41%
71,0.35%,0.40%
72,0.35%,0.41%
73,0.31%,0.36%
74,0.28%,0.33%
75,0.26%,0.31%
76,0.24%,0.29%
77,0.23%,0.28%
78,0.21%,0.26%
79,0.19%,0.25%
80,0.18%,0.24%
81,0.16%,0.22%
82,0.15%,0.21%
83,0.14%,0.20%
84,0.13%,0.19%
85,0.12%,0.18%
86,0.10%,0.16%
87,0.09%,0.15%
88,0.08%,0.14%
89,0.06%,0.12%
90,0.05%,0.11%
91,0.04%,0.09%
92,0.04%,0.08%
93,0.03%,0.06%
94,0.02%,0.05%
95,0.01%,0.04%
96,0.01%,0.03%
97,0.01%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.02%
